,text
267,anitta primeira brasileira a ver erros futuros de pessoas ao seu redor
268,"Nesse post temos 4 desempregados, que obviamente são excluídos da sociedade,com certeza 4 tonhoes  feios barangos. Que tem o intuito de denegrir a imagem da Anitta, mais que no final só deixam o nome dela mais relevante ainda...obg hatesss vcs tbm são de grande ajuda😍🙌 https://t.co/E2SvicsQGi"
269,penso uma coisa.. exemplo: se vc n gst da msc da anitta ent é só n seguir ou falar dela. se vc participa de ft é só sdv um fã dela e silenciar p n ver nd 🤷‍♂️
270,@forumpandlr Vocês tinham dúvidas? Pra andar com A anitta bozoloide quer o que???
271,então melody versus anitta eh briga entre uma gabriela e uma larissa. mds nunca falha mesmo ne 😶
272,"@pray__att mas gente nenhum single solo internacional da anitta fez sucesso no começo até agora, ela tem que trabalhar o single e a divulgação como um todo, não tem pq estar triste, funk rave ta fazendo melhor q qualquer single solo q ela lançou até hj nos primeiros dias. esses “fãs”…."
273,"a anitta tem dedo podre mesmo, tadinha"
274,e essa fã da anitta https://t.co/pgFBwXmPo3
275,"@accraffa @siteptbr Mas amor,como vc pode culpar a Anitta por uma coisa que não tem nem haver com ela? O cara é hétero,não gosta de viad0,a bicha vai lá atrás de pica toma o feche e a culpa é da Aninha?? Vai se fuder"
276,@siteptbr Anitta é podre e ainda por cima chama as imundície da família dela
277,@QGdoPOP e a porca da anitta qg? tá a venda?
278,"Sou assim, não vou mudar!  Por mim tanto faz tanto fez bjs da anitta"
279,@forumpandlr A gentalha da Anitta dando fama pra gentinha. PQP!
280,"@QGdoPOP aqui no museu, a gente transformou a Anitta em um dinossauro https://t.co/AmCyh3KqJT"
281,"se a melody já bate de frente com a anitta e não eh nem de maior ainda, imagina quando ela entrar na fase leandro liberato….. 😮‍💨😮‍💨"
282,"@froescry @choquei Myco, a Anitta é mais conhecida internacionalmente que essa tal de Beyoncé."
283,"@forumpandlr Puts a Anitta não acerta nunca
Uma pena pra essa querida"
284,cadê aquela dançarina que apresentou o cara p anitta??? kkkkkkkkk
285,@erinittx_ @isissw1ft @forumpandlr tenho dó dos cachorros da anitta
286,@cariocanitter @choquei Confundiu com a anitta que mesmo depois das mil acusações sobre o nego do borel continuou best dele
287,"@siteptbr Em pensar que ele vai aparecer no outro clip da @Anitta  novamente na continuação do funk rave . Corta ele kkk . Ainda temos tempo , Anira !!!! não deixa esse lixo , porfa ! chega de visibilidade desse ser"
288,Mds Anitta não tem 1 minuto de paz na droga desse Twitter
289,anitta como sempre dando fama para os piores tipos de pessoas
290,pq tão atacando a anitta por causa q um homem foi homofóbico ? povo sem noção
291,"@pray__att A da emilaia com a lud não teve 1/3 do marketing, divulgação e playlist por isso não foi flop ao contrário da Anitta, mas pra vc entender isso é meio complicado"
292,"@forumpandlr ridiculo homofobico e provavelmente transfobico também, que inconsequente a anitta por um ser desses tão enrustido em um clipe global, sou anitter mas tem horas que não da pra defender, que cara estúpido mal resolvido, aposto q se pagar ele sai !"
293,"E estão surpresos pq?
O nincho de amizades da anitta a maioria tem crimes."
294,"Pessoal de Recife, neste sábado (01) tem festa no @FreaksProducoes com tema de “Funk Rave”.

Esperamos vocês lá. 🔥 https://t.co/8sMNqTyTod"
295,"anitta sempre abrindo caminho pra gente preconceituosa e que não merece crescer, parabéns"
296,@forumpandlr tinha que vim da anitta
297,"@ExtensaoAnitta Mano eu já tive Até apelido de XuXa-preta quando era criança . Só pq eu gostava da XuXa . Ai agora ela passa a coroa pra Anitta que também é minha Fave.
Ou seja nunca escolhi errado . Sempre tive certeza de quem eu iria ser fã .
                   GAGA
 XUXA/              \Anitta"
298,@siteptbr Anitta mulhe em qual esgoto vc vai pra smp pegar os piores https://t.co/jteaEQ0eFh
299,@alfonsolacruzz @Anitta Meu Deus te amo
300,"e isso, um bj da anitta"
301,@ohayzz @vittardix @alfonsolacruzz @Anitta Foi se meter onde não é chamado kkkkkkk
302,queria aquele vídeo de uma mulher falando qual foi anitta sua PUTAAAAAA
303,@ellaycastilho Para de passar vergonha ellay
304,@siteptbr ataque estrelismo do cara que vai ser conhecido como o carinha do clipe da anitta.
305,@siteptbr 1 minuto no clipe da anitta e querendo dar showzinho como se fosse famoso vai cair tão rápido quanto subiu e inclusive 🤏🤏🤏 https://t.co/JDMXs7ikQY
306,@siteptbr ele foi marmita da anitta e ele nao quer que viados chega na sua DM aaaaa
307,"@anifunkrave @willxmars @anittaperrea @is_hitalo @gaabnitta mas ele dificilmente vai contribuir com o crescimento da Anitta neste mercado americano, fora que nem faz sentido ela lançar um remix de reggaeton no meio de uma era toda voltada pro funk"
308,@forumpandlr @Anitta o que achou?
309,Queria uma amiga pra viajar pela Europa igual Juliette e Anitta
310,estão vendo fãs da anitta? o tipo de pessoa que a fav de vocês da fama? em pleno mês do orgulho...
311,@forumpandlr podia ter respondido que ele tem sim cara de viad*nho que provavelmente deu pra anitta de cintaralho
312,O dedinho da Anitta nunca falha né
313,@samiporrinha @rodsknife nao posso viver num um mundo sem a anitta https://t.co/7CCBY3whHL
314,"@siteptbr isso que dá, a anitta lança um clipe e um bando de mona seca acaba dando mais atenção pra um personagem secundário."
315,"Os ataques à Anitta diminuem quando vocês param de ir nesses fóruns comentar coisas nas quais ela é citada de maneira direta e indireta. São vocês que são engajamento à eles, são vocês que dão palco pra isso tudo."
316,@choquei E sabemos que vai lotar diferente da Anitta
317,@jandira_feghali Vai ser mais outra vergonha nos come Anitta como a Jandira vai investigar terça-feira cpmi mais outra vergonha dos governistas vai ser 5 a 0 para oposição
318,"@forumpandlr tinha q ser da laia da anitta né pan

https://t.co/m7ipHvOaCC"
319,"@siteptbr Pt fala também sobre a fala homofóbica da anitta q vazou, incrível como todo mundo q anda com a anitta tem uma fala problemática né"
320,@choquei e a anitta tá negociando o que cho?
321,as pessoas tão realmente dando stream na melody pq estão com um ódio mortal pela anitta
322,"@thekingzm e vc eh um chato carente de atenção kkkkkk eu lá ligo pra hit dessa ursula, só vou apoiar pra levar o funk pro mundo e a anitta não kkkk"
323,"@henriqueltalves @forumpandlr Anitta não tem culpa, com certeza ela vai riscar ele da lista dela."
324,@siteptbr a anitta já se pronunciou?
325,"Acho que o remix de 'Ta OK' vai ser Feat Maluma, Karol G e Anitta 👀
Anitta falou assim que a música foi lançada que queria fazer parte do remix dessa música, Maluma já foi confirmado.. Karol G postou video ouvindo a música e curtiu o video da Anitta dançando 👀 https://t.co/uNArqtV1ui"
326,@siteptbr Qual a surpresa???? Anitta ama um homofóbico https://t.co/SiDwjPnQlt
327,@CINEK4ISER @leavemelon3ly o foda que a Cud NUNCA tem charts kkkkk então a Anitta até FORA do charts continua ACIMA dela kkkk é ASSUSTADOR
328,"@siteptbr a anitta é bem seletiva né, escolhe sempre os piores https://t.co/nHI1lDZC6C"
329,.@KevinOChris @dennisdj convidem a Anitta pro remix tbm por favooor
330,"o quão lgbt cult br 🇧🇷 você é?

Alcione✅️
Anitta ✅
Ludmilla ✅
Claudia Leitte ✅
Daniela Mercury ✅
Margareth Menezes❌
Ivete Sangalo  ✅
Zélia Duncan ❌
Ana Carolina ✅️
IZA✅
Pabllo Vittar ✅
Sandy ❌️
Glória Groove ✅
Bethânia ✅️
Gal Costa ❌
Joelma ✅"
331,@forumpandlr Qual a surpresa que esse anão barrense teria esse comportamento ? Requisito para trabalhar com Anitta https://t.co/fvSOEqYFdK
332,"@siteptbr A Anitta só envolve com quem não presta, mulher baixa"
333,@siteptbr Anitta q fez esse infeliz aparecer na midia
334,"@forumpandlr grande surpresa que a anitta só anda com padrão homofóbico🙀
mais chata que ela é esse fandom, só tem yag chatas, chaveirinhos de homens assim"
335,@siteptbr Pop verdade que a Anitta conheceu ele quando invadiram o Congresso?
336,e foi assim que ele conseguiu aprovação da Anitta pra participar do clipe
337,"@siteptbr bem q eu digo, tudo que vem de ruim vem da anitta pt"
338,@MinogueCentral @kylieminogue Foi lindo
339,".@Anitta entre nesse remix de Tá ok urgenteeee, igual foi com dançarina remix aí adiciona no álbum tbm já que tem tudo a ver a sonoridade  https://t.co/D5XgeVksRn"
340,"em live no Instagram, @alfonsolacruzz disse q viu o remix de 'Quítate la ropa' com Anitta feito por IA, viu os fãs da Anitta querendo o remix e q ela é icônica 
https://t.co/5Nvg26X3wl"
341,"@siteptbr a anitta como sempre envolvida, essa mulher é um mico."
342,se fere os direitos humanos a anitta apoia
343,@choquei olha oq a Anitta faz com as pessoas mds kkkkk
344,Enquanto isso a anitta é vista com rola na goela
345,acho tão louco que essa conta tá em todos os tweets sobre a anitta
346,Alô @qgdaanitter @RedeAnittaBRs @Anitta  pode isso!?!?
347,"Saudades do meu fundamental 1
Lá música da Xuxa não se cria. Mas Anitta e Ludmila fazem sucesso."
348,@choquei É claro que iria expor ué
349,@siteptbr Já sabemos de ser tão baixo igual a Anitta
350,@tracklist ela fazendo isso pra provocar a anitta que não tem hit nenhum pra ela poder compartilhar
351,"@forumpandlr O maluco só fez a porra de uma participação no clipe da Anitta, tem um total de zero relevância no planeta Terra mas tá se achando o pica de mel!! Aaaah meu cu!!!
 Tá com toda essa marra aí é porque esconde algo, não tem outra explicação!!"
352,"Vcs pedindo anitta no remix de tá ok 
Pois eu quero ela no remix do la cruz"
353,@forumpandlr Kkkkkkkkkkkk a anitta escolheu esse ai a dedo ne https://t.co/vFrsMXPOON
354,"Vixe que babaca. Se tivesse sido assediado, mas um ""e aí?"" Não ofende ninguém"
355,"@dxvsbey Anitta: teve hits em mais de 20 paises 
Lud:7 paises graças a emilia"
356,@AcervoCharts Ela já tinha falado na entrevista que ela conheceu a Anitta kkkkkk
357,"o quão lgbt cult br 🇧🇷 você é?

Alcione✅️
Anitta ❌
Ludmilla ✅❌️
Claudia Leitte ❌
Daniela Mercury ❌️✅
Margareth Menezes❌
Ivete Sangalo  ❌✅
Zélia Duncan ✅️
Ana Carolina ✅️
IZA❌
Pabllo Vittar ❌
Sandy ❌️
Glória Groove ❌
Bethânia ✅️
Gal Costa ✅️
Joelma ❌️"
358,Anitters só me fazem raiva só tem burro https://t.co/0izEImx8ts
359,@siteptbr estamos com anitta
360,"@anittaxswift Não, preferimos o da Anitta"
361,"@forumpandlr Lembrando que quem escolheu ele foram as meninas! 
Anitta nem conhecia esse cara, e mesmo assim as meninas não tem culpa de nada...

O erro é dele, aprendam a separar as coisas!"
362,"🚨 Em prints vazados, Yuri Meirelles, modelo que estrelou o novo clipe de Anitta, é visto tendo falas homofóbicas:

“Tenho cara de viado?” https://t.co/uH24hZD0MB"
363,@dakitix e a anitta guardando o quarto single a 7 chaves
364,@bankressuscita @bellaquitoedu @alfonsolacruzz @Anitta Ué vc quer? Kkkkk se decide porra
365,"@Anitta, foi essa a educação que você deu?"
366,"@coelhosoty nada a ver cara, anitta entrou na mente de vcs por falar a vdd kkkkkk"
367,"@forumpandlr A ANITTA DEU FAMA PRA ESSE AÍ INFELIZMENTE , O MUNDO TEM DEZENAS IGUAIS A ELE"
368,"Eu amo essa energia de boas da Anitta, a guria é suave demaisssssssss ✨❤️"
369,Esse rato de esgoto soltando fogos pq a Anitta vai estar out da música e essa música pode ser o primeiro funk a pegar #1 global. E ainda tem anitter que segue esse lixo.
370,"@lovezinhx @willxmars @anittaperrea @is_hitalo @gaabnitta Engraçado que a Anitta tá passando por esse mesmo processo nos Estados Unidos, para de agir como se fosse superior sempre."
371,O fã que tá reclamando de #funkrave não conhecia a Anitta ainda quando ela lançou Will I see you como primeiro single ♟️
372,"Yuri Meirelles, modelo do clipe de ""Funk Rave"", de Anitta, tem comportamento agressivo ao receber DM de rapaz: ""E aí o que, meu parceiro? Tenho cara de viado?"". https://t.co/KiYJgOwZqq"
373,@forumpandlr Olha @Anitta 😊
374,@choquei apareceu 30 segundos no clipe da anitta e já tá achando que é famoso para dar ataque de estrelismo https://t.co/zAH5GOc8gh
375,meu papo com luis castro vai ser na macumba
376,"🚨| O Spotify Brasil está promovendo um anúncio no TikTok com um vídeo promocional de ""Funk Rave"". https://t.co/GOXcsSNX8z"
377,"@choquei Tinha que ser da laia da Anitta choquei, ela só apresenta o que é ruim pro mundo"
378,@DELLAFANCY pensei que era feat. com a anitta wtffff
379,@foganoli ele deve ser irmão do leo dias fala que nem ele quando ele fala da Anitta ridículo https://t.co/BumpiLlFvg
380,@onlytiago_ @cyberpunkgoth @forumpandlr a anitta gravou o clipe em janeiro
381,"Anitta, se derrubar o copo vai ter que se relacionar com um homem que não seja nem homofóbico nem racista https://t.co/tRqgSMA3si"
382,"@forumpandlr tadinho, morreu tão cedo."
383,"@choquei Até a Anitta e homofobico, zero supresas"
384,"Não sei pra que dão palco pra esse aí, só pq a Anitta deu a intenção de m*mar ele no clipe 🤦🏾‍♂️ sério tem yag que gosta de passar vergonha mesmo, ou pior passar humilhação mesmo."
385,@choquei anitta vai buscar esse povo no bueiro pra da visibilidade e fama ne
386,"@forumpandlr Com certeza não tem nada a ver com a Anitta, mas minha visualização, o clipe de Funk Rave não terá mais."
387,@forumpandlr O dedo podre da Anitta kkkk
388,"Quero um feat de Anitta com La Cruz com um funk bem na vibe de Nadie te va a querer

https://t.co/Pgy5nXSOWD"
389,@forumpandlr kkkkkkkkkkkkkkk por isso nao do engajamento pra marmita de anitta
390,@forumpandlr Ih gente tá se achando kkkkkk só pq a Anitta mamou ele no beco kkkkk
391,@choquei Anitta e suas ótimas companhias
392,"@forumpandlr eh o que podemos esperar de pessoas que tem vínculo com anitta, ela adora essa laia"
393,se tivessem escutado o autointitulado da anitta quando pequenas nao passariam tanto PERRENGUE na vida
394,@forumpandlr Bicha que isso kkkkkkkk
395,Anitta em 2023?
396,@webskatista Te amo gostosa
397,Achei muito que bem feito pra esse tchola que deve ser fã de Anitta e ainda fica babando macho hétero KKKKKKKKKKKKK
398,"@ludxsess @ludmonet Com a anitta sim amor, ate pq a any eh boa de debut, ja a lud coitada nem de debut, nem de numeros nem de nada"
399,@choquei Como se tudo que vem da Anitta fosse algo bom né
400,"@choquei Anitta sempre envolvida em coisas ruins, cho"
401,@alfonsolacruzz @Anitta Meu deus siiiiiim
402,"Amanda precisa de uma amiga desbocada q nem a Anitta foi pra Juliette, mandando ela procurar uma piroc@ pra sentar ao invés de ficar se preocupando com o q hater diz. Era pra tá sentando nesta manhã de quinta-feira, isso sim, mas tava reforçando a amizade com a conexão do céu..."
403,@bellacmpos @forumpandlr Bella eu adoro que vc acha a anitta um gore como eu
404,@isissw1ft @forumpandlr Amo a Anitta mas nao posso negar isso.
405,"@choquei ele acha q é alguém importante pq a anitta mamou ele no clipe, cho, vê se pode? https://t.co/aXHv1hIb64"
406,"@choquei tinha que ser da laia da anitta, nem fico surpresa"
407,@choquei NOJO já tô vendo a anitta defendendo https://t.co/Dhd1ub7xzr
408,@DailyChartBR estamos com anitta logo vamos dar mais views em funk rave como resposta a ele
409,@forumpandlr Oq esperar de alguém que deixa a Anitta mamar ne ? https://t.co/0MHLZEKxtm
410,@forumpandlr Anitta sempre dando palco pra macho escroto https://t.co/9yfniOOzVS
411,@choquei Essa é a Anitta bissexual que anda com homofóbicos
412,@funkgenerationx Mano eu fico chocado que a Carmen e a “Mistura”da Xuxa E Anitta né ! 😍
413,Caralho que coisa linda 🤧
414,@forumpandlr Esse é o tipo de gente que a Anitta apoia e dá visibilidade pan
415,@choquei por isso a anitta escolheu ele
416,@hynn22 Culpa da Anitta isso
417,eu queria ser assim com meu trabalho igual anitta é com o dela
418,@clube_da_anitta Toda vez que eu vou republicar eu mando pro povo que odio
419,vamos culpar a anitta pq sabemos q ela tem índole duvidosa e é uma vaca por favor
420,@nighttfaall @forumpandlr Ele vai morrer quando descobrir q 90% do público da Anitta é gay
421,@bosssdude agora um fato: nem tudo tem a ver com a anitta
422,a nova atualização do Flo tá horrível.
423,bem da laia da anitta mesmo 🤫
424,o tipo de gnt que a anitta da palco
425,@yurinnio @forumpandlr Anitta tem mil defeitos mas o povo força cada uma
426,"o quão lgbt cult br 🇧🇷 você é?

Alcione✅️
Anitta ❌
Ludmilla ✅❌️
Claudia Leitte ❌✅
Daniela Mercury ❌️✅
Margareth Menezes❌
Ivete Sangalo  ❌✅
Zélia Duncan ❌
Ana Carolina ✅️
IZA✅️❌
Pabllo Vittar ✅❌
Sandy ✅
Glória Groove ❌
Bethânia ✅️
Gal Costa ✅️
Joelma ✅"
427,Os fãs da Anitta poderiam fuçar a deep web toda pra achar algo pra expor o **** Di né? Meu sonho essa maricona sem graça alguma tendo um podre sendo exposto
428,mas é óbvio que seria modelo de um clipe da anitta
429,@michelmkp @isissw1ft @forumpandlr o mundo assim pra anitta que hiper sexualiza pessoas pretas
430,"raluca, capivara, submarino e anitta mamando no beco voces sao o motivo do meu 2023 estar sendo horrivel."
431,@forumpandlr eu fico de cara como sempre uma pessoa que anitta trabalha 100% das vezes é alguém abertamente homofóbico essa mulher não aprende nunca
432,@webskatista Sai baitola tô com sdd te amo
433,@Djambelli @alfonsolacruzz @Anitta Ah mas eh óbvio que eh venezuelano né
434,é isso um beijo da anitta me sigam no @yazzdadds
435,"arrumam tanto motivo pra atacar a anitta que jaja vão fazer isso ser sobre ela, isso é… SE ISSO FOR VERDADE"
436,@G1daAnitta Não tinha visto
437,@Vinicyuspvd sumiram depois q a anitta lançou o versions of me
438,"@Perryyonce @folkmaca @updatecharts Normal comentário vindo de gente assim, acha q a melody é maior q a Anitta é que a taylor é maior que a bey kkkkkkkk sacou como funciona o cérebro dessa gente? Kkkkk"
439,"Anitta mamou, óbvio q boa coisa não ia ser."
440,Na minha fy só tem fã de Luan Santana (juro que nunca pesquisei nada) e hater da Anitta (uma querida amo ela)
441,irei mandar pra sua namorada 😍
442,@forumpandlr anitta consegue ser pior do que ele só por dar ibope a esse tipo de querido
443,homofóbico do jeitinho que a anitta gosta
444,como pode as antigas da anitta serem tão mitudas assim
445,"@forumpandlr A Anitta criticou tanto as marcas mas escolheu uma pessoa para os clipes que tem preconceito com o que 90% dos fãs dela são, viados. Era só ele não ter respondido, simples"
446,@Fernand54449122 @ArgentinaAnitta exato
447,"@doutoranitter @Ricaanitta mas acho dificil a msc ter chegado neles sem o intermedio da anitta, mas o cud bunny vai ta no remix tbm? https://t.co/RLsizGokmP"
448,"@lovezinhx @anittaperrea @is_hitalo @gaabnitta vergonha é você ficar chamando artistas pequenos de who, o peso pluma ano passado fazia 400k diário no spotify, hj em dia é maior que vários latinos, inclusive a Anitta. Coisa feia diminuir os outros https://t.co/ZZgpKOwWLh"
449,@forumpandlr vindo da anitta nem surpreende mais.....
450,"@forumpandlr Surpresos? Anitta é próxima de 8338383 pessoas homofóbicas mas com certeza, como disse a revista, ela representa e defende o público LGBT+ no Brasil 🙄🙄"
451,"@forumpandlr A Anitta sempre entregando horrores nos clipes, nem me surpreende esse tipo de comportamento do povo q ela chama pros clipes sabendo que a mesma é assim (nojenta https://t.co/JhAb3nEhCh"
452,@forumpandlr Votou 22 com a Anitta
453,@forumpandlr Versão masculina da Anitta
454,@forumpandlr e vocês esperavam o que de um amigo da anitta
455,@jadenitta @Vick_fromrio É que os burritters pensa q a republic vai deixar ela lançar essa coisas igual ela lançava na w***er
456,@forumpandlr A pessoa desenterrando algo de 6 meses atrás só pq é de alguma maneira relacionado a Anitta mkkkkkkk que patético https://t.co/1s6c3GiqDg
457,outra parecendo anitta e só usa o agro p se sexualizar agora (umas roupas horríveis também)
458,@alfonsolacruzz @Anitta @Djambelli cabe a você ir ass4ssinar este sujeito
459,"Eu tava na rua e funk rave tava tocando em um carro, aí uma idosa que tava passando virou pra mim e perguntou ""essa é a música nova da Anitta feita para o mercado internacional que não tá hitando nem no Brasil?"" E eu respondi ""sim, Anitta fracassada né?"" E ela respondeu ""old"" https://t.co/M4gVlogUZd"
460,"@Cardosorayssa2 Yuri Meirelles, modelo do clipe de ""Funk Rave"", de Anitta, tem comportamento agressivo ao receber DM de rapaz: ""E aí o que, meu parceiro? Tenho cara de viado?""."
461,@forumpandlr foi só andar com a anitta que começou a agir assim pan
462,@tododiaanitters a anitta no brasil não é levada a sério https://t.co/3jTMYEESlV
463,@forumpandlr tinha que ser da laia da anitta né? não esperava menos
464,foquem no álbum novo da anitta gente querem remix de sei lá o que pra que com um projeto foda desses que ela tá dando pra nós https://t.co/KY2Sfgg81e
465,@forumpandlr Anitta só erra né
466,@DELLAFANCY O kisses da Anitta ta diferente
467,"@folkmaca @kraveeeeeen @updatecharts A Anitta tem anos de carreira kkkkkkk no fim do dia oq a Melody ganha por mês, a Anitta ganha por dia.. e vc deveria fazer o mesmo, procurar um emprego"
468,NINGUÉM ME ENGANA NÃO
469,@siteptbr Já as músicas da Anitta nem gratuita o pessoal quer ouvir https://t.co/RIXEiPFoPX
470,"ah mas é claro, a anitta tinha que chamar um homofóbico pra trabalhar com ela"
471,Quando não é isso é sobre Anitta ou Cláudia
472,@siteptbr vai fazer a boneca da Anitta
473,@funkgenerationx perdi tudo aqui https://t.co/c0WeFnsNNM
474,"Doideira pensar que a Carmen Miranda passou a coroa para a Xuxa e a Xuxa para a Anitta, 3 gerações de rainhas"
475,Os bolsominion preocupados com o voto do estrupador e a Anitta não faz nada
476,@bielviictorr @anittaftBTS Achei que ja tinham aprendido pelo visto nada mudei e novamente anitta vai hitar calando a boca de muitos
477,@_luanraso Ela hitando um funk ww antes da anitta
478,@forumpandlr pois eu preferia mil vezes receber paquera de gay do que gravar cena no beco com Anitta
479,"bebendo um kit e ouvindo as msc da anitta antiga, que goods vibes kkk"
480,@forumpandlr a Anitta só cria monstros pan
481,@forumpandlr Mas foi esse o diferencial que a Anitta viu nele
482,O que a Anitta tem de sucesso tem de dedo podre pra homem
483,"Nem sempre a Anitta, mas sempre alguém perto da Anitta"
484,"@forumpandlr ele acha q é alguém importante pq a anitta fingiu mamar ele no clipe, pan? era melhor nem responder a pessoa, já q está tão ocupado com a fama https://t.co/rgOchZDfsQ"
485,@forumpandlr esse é o nível de quem se mistura com a anitta pan
486,@forumpandlr Tinha que tá envolvido com a Anitta pan
487,"@forumpandlr o pessoal vai atacar ele mas ele tá certíssimo, dps do vídeo clipe com a anitta os gays começaram a assediar ele então ele tá no seu direito"
488,"@anittinhah @ArgentinaAnitta É sim, amor. Todos os lançamentos daí foram da semana passada. Inclusive a playlist é disso. Ainda será atualizada hoje com os novos lançamentos"
489,@renezin__ @eduardo_zayat ele ultrapassando a anitta com o maior cu do mundo
490,"@coelhosoty Isso não ver ser ruim, ela dará visibilidade o funk e o isso favorecerá o ritmo e Anita"
491,@firstbrazilian @AnittaCrave @Anitta Sim!!!! Por isso estamos esperando há 10 anos pelo hit!!!!
492,@forumpandlr e era pra ser diferente? se não for padrão homofóbico a anitta nem faz amizade
493,@michelmkp @tracklist A anitta em todo lançamento
494,"@folkmaca @Perryyonce @updatecharts Vc não falo nada pq é desempregada kkkkk eu torço tanto para q vc seja uma criança, pq eu n aceito alguém q tenha mais de 15 anos e tenha uma mente tão miserável de inteligência e noção kkk uma pobre acha q a vida dela é melhor doq a da Anitta"
495,Tinha que ser fã da Anitta mesmo pra gostar de coisa ruim
496,"Yuri Meirelles, modelo do clipe de ""Funk Rave"", de Anitta, tem comportamento agressivo ao receber DM de rapaz: ""E aí o que, meu parceiro? Tenho cara de viado?"". https://t.co/I17N7UQMJS"
497,cara anitta tao um coracao tao bommmm meu deus amo essa mulher
498,@gatilho_lgbt E a Anitta não faz nada
499,"a cabeça de vcs vai explodir  quando descobrirem que a Anitta n vai participar de remix nenhum por agora, ela acabou de entrar na era do álbum novo, está totalmente focada no ÁLBUM, nas músicas dele.

é isso, um beijo da Anitta 💋 https://t.co/uRh6c8g7Wk"
500,to ouvindo anitta
501,simplesmente viciado no remix de inteligência artificial da anitta cantando quitate la ropa
502,@cariocanitter Te damos 50 reais pra vc faltar 🤪
503,sinto tanta falta da anitta de bang
504,@Joaoguiavila  é a @anitta masculina hahah o fandom é foda demais! Amo
505,Anitta me perdoe eu nem ia assistir a temporada nova de Black Mirror e tô assistindo por causa da patada que tu levou
506,"Brasileiro adora falar mal da Anitta. E vendo aqui ela dando uma entrevista em inglês pra um programa de rádio falando do funk, do seu processo criativo e do seu jeito de ver o mundo, fica claro os motivos pelos quais o Brasil ficou pequeno pra ela."
507,"Anitta tava certa e essa temporada de black mirror tá mt nada a vê… o primeiro ep tá mt bom, mas o resto parece filminho de terror trash"
508,"@folkmaca @Perryyonce @updatecharts Mas eu tô falando de VC, vc acha q sua posição hoje na vida tá melhor doq a da Anitta (q vc citou agora)?"
509,"Boa noite 

Mãeeee, te amo @Anitta 🤍

https://t.co/tKNH4qSrAz"
510,"@Davi_Kis @ExtensaoAnitta @covildabarbie Maior erro da Carreira da anitta foi ter mudado o nome do álbum, seria bem mais bombástico e interessante pra quem e de fora do Brasil ,geraria curiosidade pra ouvir a tal ""garota do Rio"""
511,"@pray__att @balvinnittx Se o álbum for todo nessa estética vai ser flop ctz. Reclamaram tanto da Warner, mas o VOM foi SIM um dos maiores projetos da Anitta mesmo tendo mudado de GFR para VOM do nada. Esperávamos algo maior, não tô mt contente, mas aguardo que as que vão vir sejam melhores."
512,@ArgentinaAnitta isso é da semana passada amor
513,vou dar o contexto pra vocês a Jojo Todinho disse pra Anitta de The Idol que ela precisava colocar mais vocais na música que ela tava compondo daí o Abel falou vdd Jojo e colocou um pano no olho dessa imunda e começou a siriricar ela enquanto ela fazia YEAHHH YEAHHH
514,"@charlie_I7 @nikolas_dm @formiga_perna Uma aprendiz da Anitta veio me dizer ou é certo ou errado na hora de falar de liberdade de expressão 🤡🤡. 
Meu querido, vai estudar mais um pouco sobre o comunismo na era soviética, a alienação das massas, as ditaduras disfarçadas de democracia...Pra gente debater depois.🇧🇷💚💛"
515,"Ainda não consegui superar esse hit da nossa Anitta brasileira 

https://t.co/ZuLTmVhVao https://t.co/9zCX5nL71W"
516,J�ƒO E ANITTA - PILANTRA
517,@eduzinhs E A ANITTA NAO FQZ NADA
518,"Alcione ❌
Anitta ✅❌
Ludmilla ✅❌️
Claudia Leitte ❌
Daniela Mercury ❌️
Margareth Menezes ❌
Ivete Sangalo  ❌
Zélia Duncan ❌
Ana Carolina ❌
IZA✅️❌
Pabllo Vittar ✅
Sandy ❌
Glória Groove ✅️
Bethânia ❌
Gal Costa ❌
Joelma ❌"
519,@itxdan13 Da Anitta que não é
520,@dakitix obg anitta mds
521,"Meu sonho que o foco nessa TL fosse total pra Anitta e em seus lançamentos… tem uns who que é pior que hater… depois reclama 

 https://t.co/TCIUmZexNz"
522,"Oq mais vocês querem? num já tá no yt o REMIX vão lá escutar, há querem REMIX de tá ok tb vão lá e façam, acordem pra cuspir a Anitta tem um cronograma todo trabalhado certinho e vcs querendo enfiar remix no kralho do cu do álbum da mulher, é cada coisa viu que chegar ser piada"
523,@azevetor obg migooo 🫶🏼
524,"@coelhosoty você assistiu a entrevista???? ela estava falando sobre música hispânica não tocar no brasil. e disse que até o bad bunny, (que é o maior fenômeno da AL na atualidade), não era consumido na época aqui no BR. (ainda não é tanto) PARA DE SE FAZER KKKKKKKKK https://t.co/lyb1QlZkmb"
525,@vdevicttor como q pode hahahahahha
526,@limaozinhobr @forumpandlr Essa é a tal música? Gente vocês fãs dessa menina e da Anitta tem que se juntar pra repensar o gosto musical de vocês... Gzuiz
527,"@JanainaLuna6 @astroolynx Que fofaaaa aaaaa!! Eu tenho 41 anos e já me chamaram de cacura kkkkkk nem ligo, tô aqui pela Anitta ❤️❤️❤️❤️"
