,text
61,"@forumpandlr Anitta tem mt vibe do Naldo quando da entrevista pra fora
Eh mt lorota kkkkkk"
62,@pallomatamirys @Anitta mds ficou mto perfeitaaa
63,Só eu e o motorista https://t.co/PSRYif3qmk
64,@choquei Espero que a @Anitta já esteja mandando resolver os edit dos clipes e já tira essa estrelinha de cena!
65,"@taylorbocats @eittanitta Disse o fã encubado, vc fala mais da Anitta do que da corcunda de notre dame, da um tempo gay obcecado"
66,Fico me perguntando como pode a pessoa ser literalmente horrível e conseguir subir o elo sem ter nenhuma noção de jogo...
67,@choquei Dessa vez n tem como te defender Anitta
68,@alfonsolacruzz Brasillllll 🇧🇷💙✨️
69,Queria um duo ou um trio pra subir esse elo maldito pqp
70,"🚨AGORA: Yuri Meirelles, modelo do clipe de ‘Funk Rave’, de Anitta, respondeu a polêmica do print vazado. 

“Isso aí foi há muito tempo atrás, depois de eu ter recebido um nud3 absurdo. Quem me conhece sabe da minha índole ❤️.” https://t.co/YtJILa9pfD"
71,@SF_Moro @GeneralMourao Será que ela tá combinando sentença? Kkkkkk
72,@forumpandlr A Anitta dando fama pra esse rola fina.
73,@Gigi23gigi2023 @natiette @bh_anitta KKKKKKKKKKKKKKKKKKKKKKKK vocês são muito engraçados vey
74,@choquei É pra esse tipo de cara que a @Anitta dá moral kkkkkk acho é pouco que essa música tá flopada
75,"A Anitta deve ter ego ferido com a karol g até hoje porque ela recusou downtown, oque eu acho infantil pq a karol serviria em um funk melhor do que a rosalia que fica fazendo desfeita dela…"
76,@rdalponttt @Limmirio Minha cantoras favoritas são MC pipokinha Anitta MC Mirella MC Loma😍😘😘😘🥰🥰🥰🥰🥰🥰🥰🥰🥰🤣🤣🤣🤣🤣🤣🥰🥰🥰😂😂😂🔞🔞🤨😐🤣💀💀😐😐
77,oq podemos esperar de quem encosta a boca na anitta
78,E as gay babando em mais um padrão homofóbico… só podia ser amigo da Anitta msm 😀
79,@gabita_gabs Meu Deus esse parece o outfit da Anitta tbm 😶😶😶😶😶😶😶😶
80,@forumpandlr @Anitta corre aqui. Já já ela substitui o boy do clipe. 😂😂😂😂😂😂😂😂😂😂😂😂
81,@ConexaoAnitta @Anitta @QGdaAnitta se tiver vídeos da produção do álbum. Posta pra gente depois ? 🥲
82,a maioria delas sendo maior q a Anitta kkkk
83,@yoshidda_ @silviacrisoca O diabo da Anitta em outro país curtindo e o povo nessa
84,@siteptbr eh esse o tipo de gente que a anitta gosta de se envolver
85,"@choquei O cara ainda se acha o famosinho só porque gravou um clipe com a anitta, PQP! KKKKKKKKKKKKKKKKKKKKK"
86,só a anitta mesmo pra dar fama pra alguém assim
87,@caiox25 @sweetenerp4tt @alfonsolacruzz @Anitta Macetou em mo
88,@forumpandlr Culpa dos fãs da Anitta que deu palco pra hétero top escroto
89,@helkyx escuta anitta https://t.co/I0F8mlVwDk
90,"@siteptbr Oxen, e qual a novidade Anitta chamava Pablo de ""trava"" nos audioa ""vazados"""
91,Verdade mesmo sempre falei! Xuxa maior ato internacional BR depois Anitta
92,@joaofigueiredof inspiração da anitta kakakak
93,@falsocaio Só para os conservadores de família e que preservam os costumes e falam mal da Anitta...
94,@siteptbr Anitta jogou ele no vespeiro de gay sem noção e o cara deve tá puto com as mensagens pedindo nude e o caralho a 4
95,"@dwtayrones @lareina22_2 @undersine Não sou professor de português, mas digo uma coisa, ninguém é obrigado ver gente burra escrevendo mal, que não sabe nem o básico do seu próprio idioma.🫶🏾😘"
96,"funk rave tá consumindo minha mente 
valeu por tudo anitta"
97,"isso aí anitta, você sempre dando palco p esses tipos de homem"
98,esse jurou mto q ia fazer clipe com a anitta e não ia receber cantada de homem viu acorda filho
99,@TheCoelhoArt1 E a Anitta n faz nada
100,@forumpandlr Enquanto a Anitta é inspiração para os vídeos da Reality Kings panceta
101,@siteptbr como sempre a anitta escolhendo  os piores https://t.co/Lhna5QI1jR
102,@pallomatamirys Cantora Anitta gasta milhões para ficar parecida com blogueira Palloma
103,@muitohumildee Sua namorada ta solteira? Ou fazem trisal?
104,@AcessoAnittaR @freddepalma @Anitta adorooo essas
105,@choquei O pessoal botando a culpa na Anitta já já https://t.co/FCeIPTheyM
106,@forumpandlr Mas ai é old né Pan? Todo mundo que anda com a Anitta é criminoso https://t.co/kMAB26sTxp
107,"@poxawiu @mateusrodry .@anitta queremos seu apoio

 https://t.co/5nO34uatlp"
108,"@_estanilo @vlucasrocha @forumpandlr O cara ia pedir parceria, ele tinha boa quantidade de seguidores antes mesmo desse surto de fama por causa da Anitta."
109,@Oneres5 @midsfolk @isissw1ft @forumpandlr a Anitta sendo a maior prosty do mundo e você falando da Taylor kkkkk a piada já vem pronta
110,e tipo assim a anitta não fica nem 1 mês com ouvintes estáveis  https://t.co/HOOiZTADgk
111,@onlytiago_ @aniweeknd @ludmonet anitta out do global tbm kkkkkk no se ve ela la aaa
112,"Anitta pelo amor de Deus pode editar esse clipe, tira a parte do beco, o atorzinho lá já deixou subir pra cabeça! 
Não vou passar pano pra esse homofóbico não! 
#Funkrave #Anitta #Anitters  #LGBTQIA #Orgulho"
113,"Tô cheia de aula pra revisar mas tô aqui no tiktok vendo e revendo a coreografia da Anitta pra aprender como se fosse dançarina profissional dela 😂😂
Tem piedade de mim senhooor"
114,não só leu como tiramos nota máxima eh isso um beijo da anitta https://t.co/oG3oDA7Usc
115,"Natti Natasha diz que esta louca para vir ao Brasil e tambem pra ir em uma festa com a Anitta.

QUEREMOS FEAT DAS MAMIS🔥 https://t.co/QnABnPVCCZ"
116,@forumpandlr Comenta @Anitta
117,A única pessoa capaz de derrotar o ego da Anitta é a blogs jakakajkakakakak
118,"cara acha q eh um deus só pq anitta ""mamou"" ele é? 
como tem gente mal educada por ai mkkk
https://t.co/0QelX6DVky"
119,@JohntheJonas Como assim usou a Selena de inspiração  ? Eu to por fora dessa série só vi uns vídeos e nem cheguei perto dos ep
120,"n me choca ter aparecido em um clipe da anitta, essa ai so com gnt de baixo nível msm"
121,"a megan já tá há +300 dias sem lançar uma msca sequer, enquanto isso a anitta lançou +15 nesse período e em 4 línguas diferentes para 4 mercados diferentes e msm assim não consegue 500k de ouvintes de diferença  https://t.co/HOOiZTADgk"
122,O que Anitta fez no clipe com ele não foi sexualizar? https://t.co/a904RqbO1j
123,"@Oneres5 @isissw1ft @nilsjobergg @forumpandlr Um caso não anula outro amor, não é pq 4 swifties foram r4c1st4s e gordofobicos que todos são,isso é generalização, agora desde sempre grande parte dos anitters fazem ataques r4c1st4s a lud só por receio de ela superar a anitta"
124,esperando a anitta trazer minha água saborizada https://t.co/CSLLR9i8Pf
125,"@anittagolden 500 pessoas na live, vocês se metem em cada coisa anitters https://t.co/if4alKuXyk"
126,@magaIigna a surra na anitta N para
127,Só esperando a Anitta assumir que se inspirou no noiadance pra fazer funk rave
128,"@pray__att Na verdade não, mas é a primeira que está virando trend de futebolistas o que é muito bom. Se o Vini Jr ou o Neymar postagem um vídeo com a música fazendo a trend da embaixadinha seria perfeito porque aí o hit era certo"
129,@expositou @alfonsolacruzz @Anitta @QGdaAnitta grosso do crlho
130,@IDhouglas @alfonsolacruzz @Anitta obrigado amg 😘😘 https://t.co/MJfMU4odwL
131,"A obsessão, amg da pra curtir outras BR além da Anitta e ta tudo bem, pra que fingir??"
132,"@onlytiago_ @ludmonet Kkkkkkkkkkkk, obrigado pelo o que? 
Gênero machista, mor. Ludmilla fez seu nome.
Anitta batendo no máximo 15k de pessoas, oh do"
133,@FriendDaAnitta @choquei O povo está expondo Tudo alias. Igual o guri lá do clipe da Anitta
134,@siteptbr E esses aí o tipo que Anitta gosta
135,A billboard tambem falou q a anitta ia levar o grammy
136,@slizzXO igual a anitta? to brincando
137,Amo dar hate na Anitta no twitter e dar stream em tudo que ela faz ao mesmo tempo
138,"é de lei: se tem envolvimento com anitta, n tem carater"
139,td q eu sei sobre anitta eh contra minha vontade
140,@lenypiper @alfonsolacruzz @Anitta Amg suas artes estão impecáveis
141,anitta maior aliada da xausa lgbt eles dizem
142,@SchetzRivera @geogataaa @forumpandlr Desde quando a Anitta é hétero? 🤔
143,A Anitta trabalha com cada pessoa...
144,@sahfrommg esnobe dms essa anitta
145,"silenciei Taylor Swift e Anitta, nunca tive tanta paz na tml"
146,"tu sobe pelas paredes com o
macete da anitta"
147,@choquei kkkk eh so andar com a anitta que fica qssim
148,"@AcessoAnittaR Acho que Anitta deveria estar lançando músicas assim… entendo a estratégia de Apresnetar o Funk, mas acho que agr agr não seria o momento… ela acabou de alcançou o top 1 global com Envolver ( Reggaetton) e deveria se estabilizar com mais músicas no mercado latino."
149,"@donadogueto @ludmonet Obrigado pagode, anitta tem isso no pop e funk bjs"
150,"a TAMANCADA que a anitta e a cazzu deram no arcangel se repetindo, agora com a maria esmurrando o coscu arrr

 https://t.co/5nO34uatlp"
151,"@Oneres5 @folkstann @forumpandlr pega os tweets q vc da rt e curte e pega os meus pra ver quem é a hipocrita aqui, pq nunca falei mal do corpo da anitta ou dei rt em coisas pesadas como vc"
152,"@lasensxcion Só depois de uns dois álbuns de reggaeton que consolidasse ela na América Latina, mas como ela quis diferente a resposta é: sim! 😍"
153,"@siteptbr Aí Anitta para de inserir esse tipinho no meio da mídia, chega de macho tóxico."
154,"@ismarkII Ele compartilhou no post nos stories, a nossa publicação é sobre isso"
155,"medo desse negócio de algumas pessoas estarem pedindo remix de Quítate La Ropa com a Anitta acabar trazendo hate para o La Cruz, se você gostou da música vai lá ouvir nas plataformas digitais e pronto"
156,@ctrlcharlesss @envolxver vamos fingir que eu acredito https://t.co/lnScP4VmUF
157,"por que esses v14d0s estão babando o ovo daquele bofe que a anitta botou no clipe?????? o cara não tem nada demais kkkkkkkk vão dar biscoito pra outros gays, obsessão esquisita por hétero eu hein"
158,"@JustSpeakingNow @starkbizzler @ryanito74 Engraçado que fã da camilla pode falar da Anitta, mais não ao contrário? Acorda"
159,Esses gays dizendo que ele é  gay zzzzzz bem feito pro viad  kkkkkkk vindo dessa Anitta que só anda com gente coisa mamou um homofóbico ainda
160,Meu sonho utimamente é ir num show do major rd
161,@expositou @alfonsolacruzz @Anitta @QGdaAnitta mas eu não tô pedindo nenhum remix
162,"@rickyhall55 oi bby, tusk bem esta noite? 🫶🏼"
163,Clipe da Anitta gente
164,"@outyeju @mahbbrnd @leavemelon3ly Kkkkkkkkk chora mais que tá pouco hater, Anira é muito lendária né? E a Ana Castela tambem, que inclusive é fã da Patroa Anitta. https://t.co/pN5e6gd4l1"
165,@forumpandlr Por isso que a anitta mamou ele né ela adora um homem escroto
166,@_LucasEstevao_ @Anitta Vale ressaltar que vai ser minha primeira noite na metro. Kkkk
167,"Espero que a anitta se pronuncie contra esse cara, pq se não ela só vai alimentar mais o boato de que só é lgbt+ e ajuda na causa quando convém."
168,@siteptbr Não tem a mesma emoção
169,Amor vc n é a anitta
170,por isso que eu fico igual a anitta
171,@lenypiper @alfonsolacruzz @Anitta Eu jurei que era real kkkkkkk
172,"@forumpandlr Não me espanta, a Anitta só se envolve com homem que não presta, pra combinar com ela, que tb não presta. Isso que dá fazer pessoas idiotas ficarem famosas"
173,Juro eu e o João discutindo Anitta x Ludmilla é tudo pra mim.
174,@ferabraao @Anitta Elas viradas dançando só os hits
175,Se esse remix sair com Anitta e Bad Bunny a América Latina vai parar  https://t.co/9EPg8V9E1j
176,eu falando com fãs da anitta
177,"@cogeloachiste Fico tão triste que uma pessoa horrosa e criminosa dessa vai ganhar visibilidade, @Anitta meu anjo na próxima vez escolhe um ator gay masculino pra contracenar com vc viu, sei que vc não tem culpa pelas atitudes desse Yuri porém só pra garantir mesmo kk🙏"
178,"@flamenrsgo @valerioQBF @futebol_info Ariana flopada no icon, nunca será Anitta"
179,"Macho escroto esse, @Anitta podia rever pra quem vai dar mídia!😑🤮"
180,@aIbertzin @siteptbr Isso seria um bem pra humanidade kkkkkkkkkkk e a boqueteira anitta da 17 🎵🎵
181,é a primeira música da anitta que fica mais popular entre os héteros né?
182,"@siteptbr Dão palco pra esses who por ter um corpinho malhado e o resultado é esse kkkk anitta nunca erra as pessoas lixo, incrível"
183,@onlytiago_ @ludmonet Mudou o disco? Kkkkkk menos em um único show a Ludmilla coloca o dobro de pessoas que a a anitta
184,"agora sim!!! Anitters brigando com as latinas ww, agora gostei… anitta tem que ser comparada e ultrapassar tais artistas, e não os br https://t.co/0tWkPw7z3x"
185,isso vai cair nas costas da anitta n duvido nada https://t.co/hGKxBFhTWE
186,@kauxblvd O cara que a Anitta mamou no clipe da mais recente bomba atômica que ela lançou
187,A CARREIRA INTERNACIONAL DA ANITTA VSFFFFFFF
188,a anitta assim no off
189,A anitta é a melody da xuxa?
190,"se a anitta ver isso, no próximo clipe dela esse daí vai fazer um fisting nela"
191,"@forumpandlr não me surpreende pan, é só os desse naipe que anda com a anitta e que ela m4m4"
192,@expositou @alfonsolacruzz @Anitta @QGdaAnitta mostra não qg esconde
193,"Pra ter ideia, tem:
Anitta
Ludmila 
Alcione 
Jads e Jadson 
Luisa Sonsa 
Ariana Grande 
Taylor Swift
Beyoncé 
Baco 
Ana Castela
Thiago Pantaleão 
Eminem 
Mariah Carey
Glória Groove 
Pabllo Vittar
Doja Cat
Olivia Rodrigo 
Bonde das Maravilhas
E muitos outros cantores"
194,@forumpandlr um dia desses ele deu entrevista dizendo que a carreira dele tava dando um up por ter aparecido no clipe da anitta e agora já vai jogar na lama a carreira que nem começou por ser homofóbico e eu acho é pouco
195,"@forumpandlr @Anitta vem cá, e essa homofobia em pleno mês LGBTQIA+??? https://t.co/gPLFBQqa2V"
196,@lenypiper @alfonsolacruzz @Anitta e agora o que faço com o fato de não existir 😭
197,@viralizeiii @mahbbrnd @leavemelon3ly qm passa vergonha aqui é a anitta tendo q lamber pau pra ganhar view e msm assim apanhando no global ate pra ana castela
198,"o quão lgbt cult br 🇧🇷 você é?

Alcione ✅ 
Anitta ✅
Ludmilla 🚫
Claudia Leitte 🚫
Daniela Mercury ✅
Margareth Menezes ✅
Ivete Sangalo  ✅
Zélia Duncan ✅
Ana Carolina ✅
IZA ✅
Pabllo Vittar 🚫
Sandy 🚫 
Glória Groove✅
Bethânia ✅
Gal Costa ✅
Joelma 🚫
Wanessa Camargo 🚫"
